Customer_ID,Age,Annual_Income,Credit_Score,Tenure_Months,Card_Tier,Acquisition_Channel,Credit_Limit,Avg_Monthly_Spend,Utilization_Rate,Avg_Payment_Ratio,Delinq_30D_Count,Satisfaction_Score,Churn_Risk
C00111,62,28000,611,34,Classic, Partner,3265,379.83,0.59,0.7,1,8,0.027
C00112,33,138242,705,35,Platinum,Digital,30082,3440.51,0.596,0.86,1,6,0.141
C00113,25,80554,725,18,GOLD,Digital,11105,984.26,0.377,0.763,0,7,0.107
C00114,31,71942,531,18,Classic,Digital,1000,563.36,0.704,0.681,0,6,0.141
C00115,25,56133,660,46,Classic,Digital,2865,507.02,0.712,0.806,0,7,0.13
C00116,48,147838,756,69,Classic,Digital,17462,1705.89,0.53,0.884,0,7,0.101
C00117,37,39542,604,34,Classic,Digital,1526,410.03,0.592,0.692,1,7,0.083
C00118,43,115691,684,31,Platinum,Digital,22454,2895.47,0.271,0.831,0,8,0.05
C00119,34,77279,742,58,Gold,Digital,13434,1696.56,0.554,0.799,0,5,0.219
C00120,41,37577,679,11,Classic,branch,6110,1086.43,0.622,0.611,0,8,0.067
C00121,50,54998,668,90,Classic,Digital,4932,347.72,0.327,0.777,0,8,0.02
C00122,34,50822,636,14,CLASSIC,Digital,1000,150,0.547,0.699,0,8,0.04
C00123,29,94074,739,27,Platinum,Branch ,23524,2244.34,0.195,0.797,0,8,0.02
C00124,31,54911,656,9,Classic,Digital,8269,957.13,0.563,0.763,0,5,0.233
C00125,43,76965,630,36,Gold,Branch,11784,1419.22,0.319,0.607,0,7,0.097
C00126,33,35855,693,54,Classic,Direct Mail,3447,366.74,0.228,0.946,0,7,0.135
C00127,41,107842,685,17,Classic,Direct Mail,9683,1406.5,0.376,0.785,0,7,0.131
C00128,37,82774,765,24,Platinum,Digital,20039,1979.07,0.333,0.96,0,8,0.051
C00129,44,92316,753,70,Classic,Digital,10860,1401.37,0.2,0.927,0,6,0.14
C00130,51,104502,696,31,Platinum,Branch,23111,2630.44,0.352,0.875,0,7,0.108
C00131,44,54382,698,68,Gold,Digital,8488,756.3,0.252,0.846,0,6,0.244
C00132,44,105674,634,63,Gold,Branch,14430,1759.13,0.457,0.694,0,7,0.098
C00133,28,62892,641,13,Classic,Digital,7336,1467.64,0.633,0.623,0,7,0.112
C00134,35,101923,788,12,Platinum,Digital,23094,2211.15,0.165,0.848,0,7,0.115
C00135,55,46767,643,48,Classic,Digital,1039,796.39,0.332,0.72,0,8,0.043
C00136,49,58288,593,15,Classic,Direct Mail,2814,336.33,0.546,0.607,1,9,0.02
C00137,34,53572,674,18,Classic,Branch,6324,333.27,0.369,0.896,0,7,0.112
C00138,43,143879,673,131,platinum,Digital,30451,2988.35,0.376,0.825,0,7,0.133
C00139,51,41770,762,70,Classic,Direct Mail,6040,1265.76,0.245,0.894,1,7,0.125
C00140,28,70486,672,28,Classic ,Partner,7983,525.94,0.373,0.842,0,7,0.12
C00141,31,77116,707,73,Gold,Partner,14256,1586.87,0.313,0.735,0,8,0.05
C00142,63,62635,622,30,Classic,Digital,6376,432.2,0.423,0.514,1,9,0.02
C00143,63,50734,712,37,Classic,Digital,5072,787.34,0.456,0.925,0,7,0.109
C00144,34,31555,636,9,Classic,Branch,1000,150,0.48,0.658,0,7,0.139
C00145,46,39779,633,55,Classic,Direct Mail,1000,306.79,0.328,0.839,0,10,0.02
C00146,55,81238,712,48,Classic,Partner,7700,934.43,0.474,0.763,0,7,0.092
C00147,36,95760,665,72,Gold,branch,13354,1817.16,0.422,0.792,0,8,0.068
C00148,68,157366,708,46,Platinum,Digital,34133,3726.04,0.338,0.843,0,7,0.151
C00149,41,161396,678,20,Platinum,DIGITAL,33833,3757.58,0.437,0.736,0,5,0.221
C00150,35,132996,636,56,Platinum,Direct Mail,25297,2856.6,0.637,0.673,0,10,0.02
C00151,46,131062,825,67,Platinum,Partner,29697,3698.3,0.222,0.983,0,8,0.024
C00152,41,58540,666,50,classic,Branch,7350,1425.5,0.541,0.652,0,9,0.02
C00153,58,143275,674,62,Platinum,Partner,30905,3189.41,0.355,0.613,0,8,0.052
C00154,40,76360,773,44,platinum,Digital,21953,2596.79,0.33,0.928,0,6,0.198
C00155,25,41012,559,48,Classic,Partner,1000,477.22,0.683,0.6,0,6,0.11
C00156,63,69038,606,78,Classic,Direct Mail,5438,551.37,0.543,0.61,0,5,0.155
C00157,37,45527,630,43,Classic,Digital,2895,638.96,0.356,0.538,2,9,0.02
C00158,60,167913,670,8,Platinum,Direct Mail,37175,4368.11,0.455,0.759,0,7,0.171
C00159,51,74995,673,26,Gold,Direct Mail,12463,1446.68,0.434,0.598,0,4,0.268
C00160,48,73246,617,17,Classic,Digital,5701,917.06,0.657,0.849,0,6,0.138
C00161,38,72490,715,48,Gold,Branch,10860,1246.28,0.287,0.879,0,7,0.094
C00162,30,125969,645,144,Platinum,Partner,24651,3265.94,0.435,0.812,0,8,0.053
C00163,36,79417,693,61,Gold,Branch,10265,945.99,0.498,0.8,0,9,0.02
C00164,42,104694,612,13,Gold,Partner,10847,1638.72,0.388,0.573,0,7,0.105
C00165,47,167014,688,35,Platinum,Digital,34862,3455.18,0.383,0.78,0,9,0.02
C00166,40,67374,674,15,Gold,Digital,10249,1010.14,0.386,0.811,0,6,0.148
C00167,36,31513,726,40,Classic,Partner,6625,877.89,0.313,0.767,0,5,0.237
C00168,53,72413,631,54,Classic,Digital,4225,421.46,0.645,0.686,0,6,0.161
C00169,47,42339,604,40,Classic,Partner,4654,469.4,0.563,0.628,1,8,0.067
C00170,66,45524,573,49,Classic,Digital,1000,150,0.583,0.691,0,9,0.02
C00171,46,54749,702,34,Gold,DIGITAL,10014,1116.67,0.456,0.676,0,7,0.094
C00172,38,57344,749,51,Gold,Partner,10288,965.35,0.282,0.894,0,5,0.191
C00173,39,57652,765,54,Gold,Branch,12571,1187.3,0.418,1.0,0,7,0.114
C00174,27,114411,763,61,Platinum,Branch,24962,2879.43,0.267,0.803,0,8,0.02
C00175,44,66003,787,70,Gold,Branch,15997,1521.1,0.394,0.921,0,10,0.02
C00176,46,52817,624,50,Classic,Digital,3505,215.5,0.456,0.682,0,8,0.067
C00177,35,68262,598,24,Classic,Digital,6112,569.75,0.494,0.635,0,6,0.173
C00178,58,84380,686,9,Gold,Branch,13319,1365.76,0.35,0.769,0,7,0.174
C00179,38,77861,755,37,Gold,Digital,16863,1719.7,0.41,0.823,0,,0.244
C00180,38,85971,627,47,Gold,Digital,14483,2152.97,0.358,0.664,0,9,0.02
C00181,43,43381,711,19,Classic,Partner,4320,150,0.646,0.713,0,8,0.093
C00182,26,57893,661,90,Classic,Digital,4738,333.99,0.484,0.707,0,8,0.054
C00183,40,49048,745,57,Gold,Branch,9171,925.6,0.235,0.782,0,8,0.03
C00184,46,95894,520,107,Classic,Partner,3136,577.13,0.522,0.524,0,5,0.223
C00185,21,85084,635,21,GOLD,Partner,7605,879.82,0.485,0.709,0,9,0.034
C00186,31,108267,642,127,Classic,Partner,7271,1134.5,0.553,0.75,0,7,0.066
C00187,54,32331,649,14,Classic,Digital,2399,746.58,0.387,0.632,0,6,0.113
C00188,46,152652,642,78,Platinum,Digital,29176,3365.23,0.472,0.767,0,8,0.056
C00189,38,95772,750,79,Gold,Partner,13315,1614.12,0.414,0.781,0,6,0.193
C00190,49,88435,642,27,Gold,Branch,9434,1224.15,0.338,0.638,0,8,0.051
C00191,40,49406,679,86,Classic,Partner,5689,624.55,0.34,0.768,0,9,0.065
C00192,44,29941,740,23,Classic,Direct Mail,7029,828.12,0.213,0.915,0,7,0.114
C00193,39,124448,692,36,Classic,Digital,10426,951.59,0.334,0.666,0,10,0.02
C00194,37,39840,646,61,Classic,Partner,5149,639.18,0.267,0.836,0,6,0.155
C00195,21,124336,710,20,Platinum,Partner,25054,2509.58,0.43,0.783,0,9,0.02
C00196,45,131690,715,37,Platinum,Partner,29823,3231.75,0.252,0.854,0,6,0.143
C00197,49,67247,691,34,Classic,Partner,6985,861.52,0.389,0.752,0,9,0.02
C00198,46,201634,636,77,Platinum,Partner,39011,4235.52,0.657,0.61,0,5,0.21
C00199,64,59868,676,25,Gold,Digital,8634,1000.71,0.453,0.682,0,7,0.125
C00200,40,73474,658,42,Gold,Direct Mail,9483,1049.42,0.4,0.681,1,7,0.133
C00201,43,80700,659,92,gold,Direct Mail,8932,1465.76,0.525,0.875,0,5,0.194
C00202,28,46263,723,79,Gold,Digital,10779,1294.97,0.277,0.818,0,7,0.067
C00203,27,54902,646,39,Classic,Branch,2782,174.21,0.338,0.754,0,10,0.02
C00204,25,85302,679,76,Gold,Branch,11348,1684.74,0.408,0.697,0,5,0.206
C00205,35,28000,596,47,Classic,Branch,1000,400.08,0.644,0.583,0,7,0.124
C00206,47,73653,732,55,Gold,Direct Mail,11267,1522.01,0.556,0.806,0,10,0.02
C00207,51,45657,670,36,Classic,Direct Mail,5574,377.55,0.471,0.731,0,5,0.207
C00208,30,83457,736,53,Gold,Branch,15786,1358.5,0.302,0.786,0,9,0.02
C00209,43,120029,698,77,Platinum,Partner,26356,3176.97,0.409,0.831,0,9,0.03
C00210,58,61040,698,37,Classic,Direct Mail,7667,1374.24,0.369,0.877,0,6,0.137
C00211,44,176181,623,36,Platinum,Digital,32519,3679.45,0.32,0.585,0,9,0.02
C00212,41,46967,747,28,Gold,Direct Mail,7439,972.83,0.416,0.938,0,5,0.19
C00213,54,48920,685,71,Classic,Branch,4445,704.9,0.253,0.661,0,9,0.02
C00214,43,53076,679,30,Classic,Digital,4681,250.85,0.319,0.8,0,8,0.088
C00215,66,45395,680,21,Classic,Branch,6997,805.98,0.582,0.784,0,8,0.032
C00216,25,97271,776,31,Gold,Partner,17742,1933.6,0.318,0.907,0,9,0.02
C00217,45,49733,592,27,Classic,Direct Mail,1000,256.68,0.518,0.575,1,8,0.073
C00218,50,83825,731,60,Gold,Branch,14203,1251.82,0.33,0.651,0,8,0.097
C00219,47,43967,682,114,CLASSIC,Partner,5186,366.1,0.383,0.754,1,7,0.146
C00220,30,133326,633,114,Platinum,Digital,27618,3171.32,0.301,0.508,1,7,0.119
C00221,38,70098,684,22,Gold,Digital,10462,1101.7,0.671,0.725,0,6,0.221
C00222,42,70095,600,30,Classic,Direct Mail,3517,612.69,0.495,0.611,1,7,0.112
C00223,35,28239,711,28,Classic,Digital,3362,224.22,0.245,0.881,0,8,0.025
C00224,32,32574,654,48,Classic,Digital,1000,150,0.334,0.704,0,8,0.102
C00225,35,69371,602,43,Classic,Branch,4145,346.29,0.349,0.543,0,5,0.193
C00226,39,130370,635,54,Platinum,Partner,28328,2877.57,0.446,0.793,0,6,0.147
C00227,45,100880,679,44,Gold,Partner,17083,1952.92,0.302,0.649,0,10,0.02
C00228,55,63095,835,37,Platinum,Digital,19363,2239.26,0.216,0.884,0,8,0.091
C00229,30,91426,730,22,Classic,Partner,13634,1478.37,0.367,1.0,0,7,0.091
C00230,31,67137,609,41,Classic,Digital,3801,740.77,0.585,0.576,0,9,0.02
C00231,39,69916,651,43,Classic,Branch,3479,283.48,0.42,0.615,0,7,0.105
C00232,29,145753,674,43,Platinum,direct mail,29740,3218.52,0.596,0.598,0,8,0.068
C00233,58,87498,634,21,Gold,Branch,10354,998.75,0.417,0.694,0,9,0.02
C00234,34,28000,731,43,Classic,Direct Mail,5726,478.39,0.296,0.752,0,8,0.029
C00235,53,34890,713,56,Classic,digital,5442,579.75,0.368,0.752,0,6,0.128
C00236,21,41461,683,14,Classic,Partner,5914,340.46,0.45,0.576,0,7,0.089
C00237,50,40173,654,82,Classic,Branch,3653,319.25,0.405,0.648,0,7,0.094
C00238,41,77490,570,19,Classic,Partner,4677,625.34,0.398,0.417,0,5,0.236
C00239,71,115655,690,52,Platinum,Partner,22465,2394.8,0.552,0.843,0,7,0.131
C00240,44,84271,749,75,platinum,Partner,21614,2468.94,0.521,0.826,0,3,0.353
C00241,34,92362,704,48,Gold,Branch,13706,1889.06,0.206,0.705,0,8,0.091
C00242,28,34511,659,23, Classic,Partner,2644,925.44,0.376,0.643,0,8,0.057
C00243,36,38074,608,106,Classic,Branch,1373,422.47,0.377,0.661,0,5,0.211
C00244,33,171578,730,45,Platinum,Partner,37381,4297.72,0.276,0.747,0,8,0.095
C00245,46,143295,612,21,Platinum,Partner,26908,3081.68,0.4,0.749,0,6,0.202
C00246,58,35057,630,31,Classic,Direct Mail,4885,413.78,0.439,0.726,0,6,0.169
C00247,49,28265,667,11,Classic,Digital,3640,449.52,0.516,0.809,0,7,0.133
C00248,30,38291,671,31,Classic,Digital,2448,417.09,0.57,0.837,0,9,0.02
C00249,32,75368,692,74,Gold,Digital,10797,1498.99,0.356,0.752,0,8,0.059
C00250,21,66785,692,8,Gold,Direct Mail,9621,1294.37,0.325,0.962,0,8,0.073
C00251,48,57342,740,43,Gold,Direct Mail,11348,1364.82,0.307,0.977,0,8,0.022
C00252,42,74627,609,13,Classic,Direct Mail,2310,289.34,0.349,0.73,0,6,0.226
C00253,25,60637,705,38,Gold,Digital,7491,242.24,0.281,0.73,0,8,0.133
C00254,37,168943,680,25,Platinum,Branch,33939,3922.69,0.334,0.733,0,7,0.104
C00255,34,68649,679,3,Classic,Digital,5943,373.49,0.437,0.674,0,8,0.109
C00256,21,44675,652,11,Classic,Digital,3908,634.55,0.275,0.805,0,7,0.146
C00257,55,61325,764,28,Classic,Direct Mail,11371,1335.03,0.244,0.95,0,7,0.118
C00258,37,62098,698,14,Classic,Digital,6592,971.68,0.358,0.819,0,10,0.02
C00259,38,67723,682,44,Gold,Branch,8938,851.76,0.261,1.0,0,6,0.238
C00260,35,28000,694,28,Classic,Digital,4588,683.3,0.294,0.894,0,9,0.02
C00261,39,102146,662,5,Gold,Digital,11571,1091.46,0.346,0.885,0,6,0.181
C00262,39,69661,732,43,gold,Partner ,8221,902.35,0.374,0.865,0,8,0.062
C00263,47,114625,694,11,Platinum,Branch,22971,2450.46,0.585,0.666,0,8,0.093
C00264,21,72130,684,15,Gold,Branch,12903,1123.53,0.368,0.749,0,4,0.296
C00265,43,102878,724,9,Platinum,Digital,21908,2280.32,0.53,0.785,0,7,0.158
C00266,41,59697,778,55,Gold,Partner,14686,1837.87,0.337,0.883,0,6,0.179
C00267,37,48078,768,45,Gold,Branch,11019,990.75,0.406,0.898,0,7,0.144
C00268,50,92033,679,111,Classic,Branch,10024,1317.99,0.419,0.698,0,5,0.2
C00269,54,71221,745,65, Gold,Digital,9090,666.33,0.347,0.879,0,10,0.02
C00270,44,62859,649,33,Classic,Partner,6392,778.06,0.63,0.71,0,4,0.285
C00271,36,131540,621,36,Gold,Branch,15346,1626.67,0.517,0.614,0,8,0.078
C00272,24,65298,678,32,Gold,Digital,8678,764.54,0.309,0.788,0,8,0.157
C00273,42,225880,715,53,Classic,Partner,16199,1956.73,0.329,0.851,0,6,0.153
C00274,46,66917,689,23,Gold,Partner,9488,1257.72,0.348,0.797,0,6,0.17
C00275,45,28000,698,63,Classic,Direct Mail,3560,753.5,0.46,0.79,0,7,0.115
C00276,46,112386,717,17,Platinum,Digital,23941,2687.75,0.4,0.846,0,6,0.17
C00277,51,59811,663,71,Classic,Direct Mail,2520,247.17,0.446,0.644,0,7,0.13
C00278,38,113086,733,14,Platinum,Branch,24556,2360.31,0.505,0.847,0,9,0.02
C00279,51,165214,622,46,Platinum,Partner,31911,3669.12,0.55,0.592,0,8,0.02
C00280,38,143770,665,75,Platinum,Partner,31140,3199.54,0.328,0.784,0,9,0.02
C00281,47,46980,757,39,Gold,Digital,10702,1224.32,0.368,0.86,0,10,0.02
C00282,31,42847,626,19,Classic, Digital,3493,150,0.582,0.637,0,7,0.088
C00283,30,92398,693,91,Gold,Branch,11754,1172.94,0.415,0.779,0,7,0.097
C00284,42,70370,669,39,Gold,PARTNER,11483,1145.32,0.363,0.844,0,6,0.142
C00285,40,49204,762,44,Gold,Direct Mail ,10885,492.02,0.258,0.905,0,5,0.265
C00286,38,111603,629,19,Gold,partner,15257,1679.71,0.413,0.79,0,9,0.02
C00287,37,56145,663,83,Classic,Branch,3550,455.87,0.581,0.791,0,4,0.3
C00288,32,47411,643,55,Classic,Digital,4468,467.29,0.458,0.828,0,7,0.051
C00289,36,100424,689,29,Gold ,Digital,10605,1460.11,0.428,0.719,0,6,0.126
C00290,30,65793,712,54,Gold,Digital,9665,779.68,0.376,0.68,0,7,0.187
C00291,32,70091,576,65,Classic,DIGITAL,3229,587.76,0.422,0.624,0,6,0.154
C00292,54,100379,674,41,Gold,Partner ,13922,1709.61,0.503,0.679,0,5,0.198
C00293,27,152795,652,44,Platinum,Digital,30366,3355.01,0.486,0.749,0,8,0.072
C00294,35,48119,642,101,Classic,Partner,1000,150,0.547,0.708,0,8,0.085
C00295,38,113751,722,20,Classic,Branch,13379,1410.42,0.478,0.856,0,8,0.067
C00296,34,112428,739,41,Platinum,Branch,24741,2544.39,0.358,0.887,0,6,0.173
C00297,38,116333,713,38,Platinum,Partner,24312,2865.3,0.22,0.89,0,9,0.02
C00298,45,58029,692,8,Gold,Partner,7374,512.16,0.425,0.787,0,8,0.156
C00299,31,56804,672,50,Classic,Direct Mail,6770,310.74,0.392,0.755,0,7,0.085
C00300,26,51526,725,73,Gold,Direct Mail,9697,853.33,0.292,0.829,0,8,0.1
C00301,47,41882,673,58,Classic,Partner,5227,366.26,0.396,0.8,0,7,0.098
C00302,62,73467,646,97,Gold,Partner,11510,1488.56,0.308,0.648,0,6,0.16
C00303,21,53227,723,17,Gold,PARTNER,10063,1360.83,0.246,0.794,0,7,0.097
C00304,44,56595,674,18,Classic,Direct Mail,5780,668.12,0.434,0.855,0,9,0.02
